occ_code,title,JobFamily,isBright,isGreen,JobZone,MedianSalary,pct_computer,pct_physical,pct_communication,pct_analyze,pct_manage,pct_creative,pct_textnative,observed_exposure
29-9093,Surgical Assistants,Healthcare Practitioners and Technical,1,0,5,92454.3,0.0444664031620553,0.0444664031620553,0.5652173913043478,0.3636363636363636,0.1254901960784313,0.0,0.0,0.0
29-9099,"Healthcare Practitioners and Technical Workers, All Other",Healthcare Practitioners and Technical,1,0,2,70459.8,0.0,0.0285714285714285,0.6,0.4571428571428571,0.0571428571428571,0.0,0.0285714285714285,0.0
31-1131,Nursing Assistants,Healthcare Support,1,0,3,44853.3,0.0625,0.1,0.631578947368421,0.2608695652173913,0.125,0.0,0.0434782608695652,0.0
31-1132,Orderlies,Healthcare Support,1,0,3,44853.3,0.0625,0.1,0.631578947368421,0.2608695652173913,0.125,0.0,0.0434782608695652,0.0
31-1133,Psychiatric Aides,Healthcare Support,1,0,3,44853.3,0.0625,0.1,0.631578947368421,0.2608695652173913,0.125,0.0,0.0434782608695652,0.0
31-2011,Occupational Therapy Assistants,Healthcare Support,1,0,3,77683.8,0.1818181818181818,0.0909090909090909,0.6818181818181818,0.3636363636363636,0.1818181818181818,0.0454545454545454,0.0,0.0
31-2012,Occupational Therapy Aides,Healthcare Support,1,0,3,36326.4,0.0666666666666666,0.0666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0666666666666666,0.0,0.0661
31-2021,Physical Therapist Assistants,Healthcare Support,1,0,3,74871.6,0.0,0.2222222222222222,0.6666666666666666,0.2777777777777778,0.0,0.0,0.0555555555555555,0.0
31-2022,Physical Therapist Aides,Healthcare Support,1,0,2,33849.6,0.0,0.2105263157894736,0.631578947368421,0.2631578947368421,0.1578947368421052,0.0,0.0526315789473684,0.0
31-9011,Massage Therapists,Healthcare Support,1,0,3,53431.8,0.0,0.3076923076923077,0.7692307692307693,0.2307692307692307,0.0,0.0,0.0,0.0
31-9091,Dental Assistants,Healthcare Support,1,0,3,49871.4,0.125,0.25,0.375,0.125,0.125,0.0,0.0,0.0
31-9092,Medical Assistants,Healthcare Support,1,0,3,43356.9,0.0,0.1,0.65,0.25,0.2,0.0,0.05,0.0476
31-9093,Medical Equipment Preparers,Healthcare Support,1,0,2,46749.6,0.0625,0.3125,0.4375,0.125,0.125,0.0,0.0,0.0
31-9094,Medical Transcriptionists,Healthcare Support,0,0,3,44853.3,0.0666666666666666,0.0,0.5333333333333333,0.4,0.0666666666666666,0.0,0.2,0.6365
31-9095,Pharmacy Aides,Healthcare Support,0,0,2,34120.5,0.1176470588235294,0.0588235294117647,0.2352941176470588,0.1176470588235294,0.0588235294117647,0.0,0.0588235294117647,0.022
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,Healthcare Support,1,0,3,35526.6,0.0,0.1851851851851851,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0,0.074074074074074,0.0179
31-9097,Phlebotomists,Healthcare Support,1,0,3,44479.2,0.0416666666666666,0.0833333333333333,0.25,0.2916666666666667,0.0833333333333333,0.0416666666666666,0.0,0.0
